file name ----------------------------  GMUL  i-count  -- total time --   MIPS
perf.sim3.01                               9 1.18e+09  189.75s  3m09.75    6.2
perf.sim3.02                               9 1.18e+09  192.93s  3m12.93    6.1
perf.sim3.03                               9 1.18e+09  192.97s  3m12.97    6.1
perf.sim3.04                               9 1.18e+09  193.03s  3m13.03    6.1
perf.sim3.05                               9 1.18e+09  193.98s  3m13.98    6.1
perf.sim3.06                               8 1.05e+09  171.45s  2m51.45    6.1
perf.sim3.07                               9 1.18e+09  193.26s  3m13.26    6.1
perf.sim3.08                               8 1.05e+09  172.71s  2m52.71    6.1
perf.sim3.09                               8 1.05e+09  172.36s  2m52.36    6.1
perf.sim3.10                               9 1.18e+09  193.75s  3m13.75    6.1
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T401  CVD R,m                : 10   305.8   320.4   306.93  1.77%    3.76   1.83
T402  PACK m,m (5d)          : 10   288.2   311.5   299.33  2.23%    3.67   1.78
T403  PACK m,m (15d)         : 10   307.2   355.0   305.40  2.94%    3.74   1.82
T404  UNPK m,m (5d)          : 10   288.2   311.5   299.33  2.23%    3.67   1.78
T405  UNPK m,m (15d)         : 10   307.2   348.2   305.40  9.56%    3.74   1.82
T410  MVC;ED (10c)           : 10   760.2   841.3   833.11  1.79%   10.22   4.96
T411  MVC;ED (30c)           : 10  1109.3  1175.7  1155.69  2.95%   14.17   6.89
T415  MVC;EDMK (10c)         : 10   786.1   884.4   833.11  0.31%   10.22   4.96
T420  AP m,m (10d)           : 10   560.8   671.8   572.47  4.05%    7.02   3.41
T421  AP m,m (30d)           : 10   975.2  1083.6  1049.02  3.57%   12.86   6.25
T422  SP m,m (10d)           : 10   536.4   658.3   572.47  0.00%    7.02   3.41
T423  SP m,m (30d)           : 10  1061.9  1121.5  1070.70  4.12%   13.13   6.38
T424  MP m,m (10d)           : 10   480.4   581.5   529.34  7.49%    6.49   3.15
T425  MP m,m (30d)           : 10   654.2   758.5   663.31  4.05%    8.13   3.95
T426  MVC;DP m,m (10d)       : 10  1177.6  1410.8  1220.64  3.12%   14.97   7.27
T427  MVC;DP m,m (30d)       : 10  2730.7  3094.8  2756.64 10.39%   33.80  16.43
T430  CP m,m (10d)           : 10   443.7   531.0   490.32 11.25%    6.01   2.92
T431  CP m,m (30d)           : 10   864.7   925.4   901.81  4.93%   11.06   5.37
T440  ZAP m,m (10d,10d)      : 10   360.3   369.8   357.58  0.66%    4.38   2.13
T441  ZAP m,m (30d,30d)      : 10   490.7   540.4   499.80  4.60%    6.13   2.98
T442  ZAP m,m (10d,30d)      : 10   398.2   448.0   395.50  1.34%    4.85   2.36
T443  ZAP m,m (30d,10d)      : 10   360.3   405.3   359.95 10.46%    4.41   2.14
T445  SRP m,i,i (30d,<<)     : 10   523.4   568.9   547.72  5.56%    6.72   3.26
T446  SRP m,i,i (30d,>>)     : 10   691.8   798.7   676.29  8.80%    8.29   4.03
T450  MVO m,m (10d)          : 10   382.3   409.6   396.42  2.52%    4.86   2.36
T451  MVO m,m (30d)          : 10   432.4   477.9   428.28  0.66%    5.25   2.55
T500  LER R,R                : 10    81.5    85.1    83.15  1.83%    1.02   0.50
T501  LE R,m                 : 10   166.6   173.9   168.58  1.34%    2.07   1.00
T502  LE R,m (unal)          : 10   166.6   222.1   168.58  0.80%    2.07   1.00
T503  LTER R,R               : 10    90.1    92.4    90.83  1.78%    1.11   0.54
T504  LCER R,R               : 10    91.6    93.8    91.12  1.92%    1.12   0.54
T505  LNER R,R               : 10    88.7    93.3    91.34  0.43%    1.12   0.54
T506  LPER R,R               : 10    91.0    94.6    91.72  0.62%    1.12   0.55
T507  LRER R,R               : 10    91.0    95.6    94.54  1.94%    1.16   0.56
T508  STE R,m                : 10   177.5   184.8   179.50  1.70%    2.20   1.07
T509  STE R,m (unal)         : 10   177.5   183.9   178.59  0.00%    2.19   1.06
T510  AER R,R                : 10   111.4   113.8   111.01  0.00%    1.36   0.66
T511  AE R,m                 : 10   191.1   197.2   194.83  1.35%    2.39   1.16
T512  SER R,R                : 10   108.1   112.6   111.01  2.27%    1.36   0.66
T513  SE R,m                 : 10   191.1   197.2   194.64  0.65%    2.39   1.16
T514  MER R,R                : 10   124.7   128.3   120.40  2.83%    1.48   0.72
T515  ME R,m                 : 10   208.7   217.4   209.22  2.51%    2.57   1.25
T516  DER R,R                : 10   145.6   149.5   140.60  0.94%    1.72   0.84
T517  DE R,m                 : 10   225.3   235.5   229.35  3.88%    2.81   1.37
T520  CER R,R                : 10   107.4   111.0   108.68  2.04%    1.33   0.65
T521  CE R,m                 : 10   189.6   197.2   191.22  2.43%    2.34   1.14
T522  AUR R,R                : 10   111.0   117.8   109.65  0.00%    1.34   0.65
T523  HER R,R                : 10    95.6    97.9    92.53  0.58%    1.13   0.55
T530  LDR R,R                : 10    82.9    87.0    84.04  1.84%    1.03   0.50
T531  LD R,m                 : 10   170.2   177.5   173.98  1.49%    2.13   1.04
T532  LD R,m (unal)          : 10   170.2   180.2   172.22  0.79%    2.11   1.03
T533  LTDR R,R               : 10    91.6    93.8    91.12  1.92%    1.12   0.54
T534  LCDR R,R               : 10    91.9    94.2    92.94  0.05%    1.14   0.55
T535  LNDR R,R               : 10    90.6    93.8    92.23  1.88%    1.13   0.55
T536  LPDR R,R               : 10    91.6    93.8    91.12  0.19%    1.12   0.54
T537  LRDR R,R               : 10    91.7    97.3    93.50  1.77%    1.15   0.56
T538  STD R,m                : 10   187.4   191.5   187.70  1.92%    2.30   1.12
T539  STD R,m (unal)         : 10   183.9   191.5   185.87  1.94%    2.28   1.11
T540  ADR R,R                : 10   128.7   134.6   132.30  0.00%    1.62   0.79
T541  AD R,m                 : 10   219.7   228.4   218.48  0.75%    2.68   1.30
T542  SDR R,R                : 10   128.7   134.6   132.30  0.36%    1.62   0.79
T543  SD R,m                 : 10   213.5   221.8   218.48  0.94%    2.68   1.30
