Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx    n-cp  e-cp%   mcc
T971  T700 1st 21            : 20  2063.3  2077.7  1891.65   0.1%   33.03  10.83   33.04     4%    33
T972  T700 1st 22            : 20  2144.3  2157.7  1974.49   0.5%   34.48  11.30   34.49    49%    34
T973  T700 1st 23            : 20  2172.0  2205.7  2001.95   0.5%   34.95  11.46   34.97    -2%    35
T974  T700 1st 24            : 20  2230.9  2245.9  2059.53   0.1%   35.96  11.79   35.98    -2%    36
T975  T700 1st 25            : 20  2344.9  2362.4  2175.13   0.5%   37.98  12.45   38.00     0%    38
T976  T700 1st 26            : 20  2401.0  2416.8  2229.35   0.1%   38.93  12.76   38.94    -5%    39
T977  T700 1st 27            : 20  2401.0  2420.4  2231.01   0.5%   38.95  12.77   38.97    -2%    39
T978  T700 1st 28            : 20  2513.1  2529.9  2342.09   0.2%   40.89  13.41   40.91    -8%    41
T979  T700 1st 29            : 20  2572.6  2600.1  2403.27   0.6%   41.96  13.76   41.98    -1%    42
T980  T700 1st 30            : 20  2813.4  2831.0  2641.73   0.1%   46.13  15.12   46.15    14%    46
T981  T700 1st 31            : 20  2858.5  2875.5  2688.43   0.5%   46.94  15.39   46.96    -3%    47
T982  T700 1st 32            : 20  3000.1  3020.5  2830.91   0.5%   49.43  16.20   49.45    45%    49
T983  T700 1st 33            : 20  3027.3  3045.9  2856.58   0.1%   49.88  16.35   49.90    -9%    50
T984  T700 1st 34            : 20  3146.3  3164.6  2977.02   0.5%   51.98  17.04   52.00     0%    52
T985  T700 1st 35            : 20  3215.5  3236.5  3043.76   0.1%   53.15  17.42   53.17    16%    53
T986  T700 1st 36            : 20  3333.5  3375.0  3164.83   0.6%   55.26  18.12   55.28    28%    55
T987  T700 1st 37            : 20  3487.3  3510.2  3316.77   0.1%   57.91  18.98   57.94    -6%    58
T988  T700 1st 38            : 20  3601.5  3632.7  3431.78   0.5%   59.92  19.64   59.95    -5%    60
T989  T700 1st 39            : 20  3660.4  3685.5  3491.18   0.6%   60.96  19.98   60.99    -1%    61
T990  T700 1st 40            : 20  3660.4  3685.3  3489.81   0.1%   60.93  19.98   60.96    -3%    61
