s370_perf_ana  -raw

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr      lr  ig lt        raw   w50%
T100  LR R,R                 : 92   22000 100  1     216.00  1.31%
T101  LA R,n                 : 92   17000 100  1     283.80  0.97%
T102  L R,m                  : 92   13000  50  1     380.70  0.93%
T103  L R,m (unal)           : 92   12000  50  1     437.33  0.86%
T104  LH R,m                 : 92   10000  50  1     461.40  1.05%
T105  LH R,m (unal3)         : 92   10000  50  1     480.98  0.96%
T106  LTR R,R                : 92   15000 100  1     358.85  0.78%
T107  LCR R,R                : 92   13000 100  1     371.70  0.90%
T108  LNR R,R                : 92   13000 100  1     329.20  1.06%
T109  LPR R,R                : 92   13000 100  1     385.90  0.75%
T110  ST R,m                 : 92   13000  50  1     392.85  0.99%
T111  ST R,m (unal)          : 92   12000  50  1     439.52  4.47%
T112  STH R,m                : 92   10000  50  1     480.55  0.92%
T113  STH R,m (unal1)        : 92   10000  50  1     477.00  0.80%
T114  STH R,m (unal3)        : 92   10000  50  1     474.57  1.00%
T115  STC R,m                : 92   11000  50  1     448.65  0.80%
T116  STCM R,i,m (0010)      : 92    8000  50  1     622.20  0.86%
T117  STCM R,i,m (1100)      : 92    7000  50  1     674.90  0.85%
T118  STCM R,i,m (0111)      : 92   10000  50  1     497.40  0.89%
T120  STM 2,3,m (2r)         : 92    9000  50  1     557.88  0.83%
T121  STM 2,7,m (6r)         : 92    6500  50  1     726.20  0.70%
T122  STM 14,12,m (15r)      : 92    5000  50  1     993.52  0.84%
T123  LM 2,3,m (2r)          : 92    9000  50  1     571.88  0.80%
T124  LM 2,7,m (6r)          : 92    6000  50  1     771.12  1.03%
T125  LM 0,11,m (12r)        : 92    5000  50  2    1024.82  0.93%
T150  MVC m,m (5c)           : 92    5000  50  1     890.10  0.89%
T151  MVC m,m (10c)          : 92    5000  50  1    1007.55  0.77%
T152  MVC m,m (15c)          : 92    5000  50  1     964.77  0.96%
T153  MVC m,m (30c)          : 92    5000  50  1     993.48  0.93%
T154  MVC m,m (100c)         : 92    4000  50  1    1162.22  0.94%
T155  MVC m,m (250c)         : 92    7500  20  1     631.20  1.00%
T156  MVC m,m (250c,over1)   : 92     700  20  1    7039.59  0.98%
T157  MVC m,m (250c,over2)   : 92    7500  20  1     631.53  0.95%
T160  MVI m,i                : 92    6000 100  1     797.75  0.87%
T161  MVN m,m (10c)          : 92    5000  50  1    1010.23  0.79%
T162  MVN m,m (30c)          : 92    7000  20  1     682.64  0.90%
T165  MVZ m,m (10c)          : 92    5000  50  1    1007.95  0.89%
T166  MVZ m,m (30c)          : 92    7000  20  1     682.15  0.76%
T167  MVCIN m,m (10c)        : 92    3500  20  1    1470.89  0.83%
T168  MVCIN m,m (30c)        : 92    1200  20  1    4087.86  0.78%
T169  MVCIN m,m (100c)       : 92     350  20  1   13350.50  0.76%
T170  4*Lx;MVCL (10b)        : 92   13000  10  1     353.44  1.08%
T171  4*Lx;MVCL (100b)       : 92   11000  10  1     422.11  0.93%
T172  4*Lx;MVCL (250b)       : 92    9000  10  1     513.60  1.03%
T173  4*Lx;MVCL (1kb)        : 92    4500  10  1    1071.05  0.84%
T174  4*LR;MVCL (4kb)        : 92    1400  10  1    3348.16  0.92%
T175  4*Lx;MVCL (100b,pad)   : 92   15000  10  1     303.11  0.84%
T176  4*Lx;MVCL (1kb,pad)    : 92   10000  10  1     465.99  0.91%
T177  4*Lx;MVCL (4kb,pad)    : 92    4500  10  1    1073.84  1.00%
T178  4*LA;MVCL (1kb,over1)  : 92   21000  10  1     225.49  0.97%
T179  4*LA;MVCL (1kb,over2)  : 92    4000  10  1    1154.12  0.95%
T190  IC R,m                 : 92    6000 100  1     905.35  0.88%
T191  ICM R,i,m (0010)       : 92    3000 100  1    1594.60  0.83%
T192  ICM R,i,m (1100)       : 92    3000 100  1    1655.00  0.96%
