file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-06-23-14:08:30_J0001_PERF-ASM.prt   129 1.71e+10  293.51s  4m53.51   58.1
2018-06-23-14:13:45_J0002_PERF-ASM.prt   135 1.79e+10  306.53s  5m06.53   58.2
2018-06-23-14:19:01_J0003_PERF-ASM.prt   136 1.80e+10  307.91s  5m07.91   58.4
2018-06-23-14:24:07_J0004_PERF-ASM.prt   132 1.75e+10  298.50s  4m58.50   58.5
2018-06-23-14:29:19_J0005_PERF-ASM.prt   135 1.79e+10  304.68s  5m04.68   58.6
2018-06-23-14:34:25_J0006_PERF-ASM.prt   132 1.75e+10  298.46s  4m58.46   58.5
2018-06-23-14:39:28_J0007_PERF-ASM.prt   130 1.72e+10  295.40s  4m55.40   58.2
2018-06-23-14:44:39_J0008_PERF-ASM.prt   134 1.77e+10  302.84s  5m02.84   58.5
2018-06-23-14:49:50_J0009_PERF-ASM.prt   134 1.77e+10  303.72s  5m03.72   58.3
2018-06-23-14:55:01_J0010_PERF-ASM.prt   134 1.77e+10  303.99s  5m03.99   58.3
2018-06-23-15:00:09_J0011_PERF-ASM.prt   133 1.76e+10  300.58s  5m00.58   58.5
2018-06-23-15:05:27_J0012_PERF-ASM.prt   137 1.81e+10  309.29s  5m09.29   58.6
2018-06-23-15:10:34_J0013_PERF-ASM.prt   132 1.75e+10  299.53s  4m59.53   58.3
2018-06-23-15:15:38_J0014_PERF-ASM.prt   131 1.73e+10  296.26s  4m56.26   58.5
2018-06-23-15:20:51_J0015_PERF-ASM.prt   135 1.79e+10  304.77s  5m04.77   58.6
2018-06-23-15:26:04_J0016_PERF-ASM.prt   135 1.79e+10  304.67s  5m04.67   58.6
2018-06-23-15:31:12_J0017_PERF-ASM.prt   133 1.76e+10  301.19s  5m01.19   58.4
2018-06-23-15:36:15_J0018_PERF-ASM.prt   130 1.72e+10  294.54s  4m54.54   58.4
2018-06-23-15:41:28_J0019_PERF-ASM.prt   135 1.79e+10  304.96s  5m04.96   58.5
2018-06-23-15:46:38_J0020_PERF-ASM.prt   134 1.77e+10  302.42s  5m02.42   58.6
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T441  ZAP m,m (30d,30d)      : 20   207.3   215.4   210.08  1.61%   63.18  18.70
T442  ZAP m,m (10d,30d)      : 20   208.8   222.8   210.45  1.08%   63.29  18.73
T443  ZAP m,m (30d,10d)      : 20   206.3   217.8   210.42  1.98%   63.28  18.73
T445  SRP m,i,i (30d,<<)     : 20   245.4   254.6   247.53  1.59%   74.44  22.04
T446  SRP m,i,i (30d,>>)     : 20   339.3   375.4   341.58  1.20%  102.72  30.41
T450  MVO m,m (10d)          : 20    81.0    84.2    82.22  1.26%   24.73   7.32
T451  MVO m,m (30d)          : 20   212.7   219.9   216.82  1.53%   65.20  19.30
T500  LER R,R                : 20     6.0     7.3     6.06  1.73%    1.82   0.54
T501  LE R,m                 : 20    14.6    16.3    14.82  1.06%    4.46   1.32
T502  LE R,m (unal)          : 20    15.0    15.8    15.16  1.72%    4.56   1.35
T503  LTER R,R               : 20     7.6     7.9     7.66  0.81%    2.30   0.68
T504  LCER R,R               : 20     8.0     8.5     8.07  1.02%    2.43   0.72
T505  LNER R,R               : 20     7.1     7.9     7.17  1.34%    2.16   0.64
T506  LPER R,R               : 20     7.6     8.0     7.69  2.25%    2.31   0.68
T507  LRER R,R               : 20     9.8    10.9     9.90  1.10%    2.98   0.88
T508  STE R,m                : 20    13.7    14.3    13.82  0.98%    4.16   1.23
T509  STE R,m (unal)         : 20    14.2    14.9    14.44  1.03%    4.34   1.29
T510  AER R,R                : 20    19.3    20.2    19.55  1.09%    5.88   1.74
T511  AE R,m                 : 20    27.4    28.6    27.63  1.95%    8.31   2.46
T512  SER R,R                : 20    19.5    20.3    19.74  1.27%    5.94   1.76
T513  SE R,m                 : 20    26.4    28.7    26.62  0.55%    8.00   2.37
T514  MER R,R                : 20    14.4    14.8    14.17  1.78%    4.26   1.26
T515  ME R,m                 : 20    22.3    23.1    22.27  1.18%    6.70   1.98
T516  DER R,R                : 20    26.7    29.7    27.08  1.93%    8.14   2.41
T517  DE R,m                 : 20    33.5    35.8    33.71  1.47%   10.14   3.00
T520  CER R,R                : 20    15.7    16.8    15.82  1.57%    4.76   1.41
T521  CE R,m                 : 20    23.3    25.9    23.70  2.30%    7.13   2.11
T522  AUR R,R                : 20    14.3    16.2    14.17  1.89%    4.26   1.26
T523  HER R,R                : 20    10.3    10.7     9.94  1.41%    2.99   0.89
T530  LDR R,R                : 20     6.5     6.7     6.53  0.65%    1.96   0.58
T531  LD R,m                 : 20    15.0    15.7    15.27  1.44%    4.59   1.36
T532  LD R,m (unal)          : 20    15.1    16.0    15.24  2.24%    4.58   1.36
T533  LTDR R,R               : 20     7.5     7.8     7.54  2.34%    2.27   0.67
T534  LCDR R,R               : 20     7.8     8.5     7.86  1.20%    2.36   0.70
T535  LNDR R,R               : 20     9.7    10.2     9.72  1.35%    2.92   0.87
T536  LPDR R,R               : 20     9.1     9.8     9.26  1.44%    2.78   0.82
T537  LRDR R,R               : 20    11.3    12.0    11.39  1.87%    3.42   1.01
T538  STD R,m                : 20    14.8    15.4    14.94  1.49%    4.49   1.33
T539  STD R,m (unal)         : 20    15.2    15.8    15.32  1.63%    4.61   1.36
T540  ADR R,R                : 20    20.5    21.2    20.72  1.19%    6.23   1.84
T541  AD R,m                 : 20    28.3    29.5    28.74  0.97%    8.64   2.56
T542  SDR R,R                : 20    20.8    21.9    20.93  1.25%    6.30   1.86
T543  SD R,m                 : 20    28.5    30.9    28.80  1.78%    8.66   2.56
T544  MDR R,R                : 20    23.4    24.6    23.30  1.96%    7.01   2.07
T545  MD R,m                 : 20    31.0    32.6    31.02  1.46%    9.33   2.76
T546  DDR R,R                : 20   206.8   214.3   210.45  1.32%   63.29  18.73
T547  DD R,m                 : 20   213.8   223.9   217.88  1.94%   65.52  19.40
T550  CDR R,R                : 20    17.1    17.9    17.25  1.24%    5.19   1.54
T551  CD R,m                 : 20    24.6    26.6    24.89  1.12%    7.48   2.22
T552  AWR R,R                : 20    18.0    20.0    17.77  1.51%    5.34   1.58
T553  HDR R,R                : 20    10.9    12.0    10.67  1.19%    3.21   0.95
T560  AXR R,R                : 20    36.2    37.9    36.69  1.25%   11.03   3.27
T561  MXR R,R                : 20    45.4    52.5    45.43  1.65%   13.66   4.04
T600  STCK m                 : 20   105.1   112.0   107.01  2.60%   32.18   9.53
T601  SPM R                  : 20     4.4     4.8     4.34  1.07%    1.31   0.39
T610  EX R,i (with TM)       : 20    41.2    42.9    41.64  0.72%   12.52   3.71
T611  EX R,i (with XI)       : 20    43.4    46.5    44.31  1.53%   13.33   3.94
T620  MVI;TS m (zero)        : 20    55.9    58.2    57.01  1.39%   17.14   5.07
T621  MVI;TS m (ones)        : 20  1821.3  1870.0  1840.65  0.84%  553.54 163.85
T700  mix int RR basic       : 20    10.0    10.8     9.89  1.83%    2.98   0.88
T701  mix int RX             : 20    16.0    16.7    16.04  1.36%    4.82   1.43
T702  mix int RX (far)       : 20    16.0    17.6    15.94  2.15%    4.79   1.42
T703  mix int RR noopt       : 20    10.3    10.9    10.39  1.06%    3.13   0.93
T900  LR R,R (ig=1)          : 20    11.3    11.9     2.40  1.58%    0.72   0.21
T901  LR R,R (ig=2)          : 20     7.2     7.4     2.72  1.24%    0.82   0.24
T902  LR R,R (ig=3)          : 20     5.9     6.2     2.97  1.94%    0.89   0.26
T903  LR R,R (ig=4)          : 20     9.7    10.4     7.64  1.28%    2.30   0.68
T904  LR R,R (ig=5)          : 20     8.2     8.5     6.54  1.79%    1.97   0.58
T905  LR R,R (ig=6)          : 20     7.3     7.7     5.95  1.75%    1.79   0.53
T906  LR R,R (ig=7)          : 20     6.9     7.5     5.82  1.80%    1.75   0.52
T907  LR R,R (ig=8)          : 20     6.3     6.6     5.29  2.28%    1.59   0.47
T908  LR R,R (ig=9)          : 20     5.9     6.2     5.06  1.68%    1.52   0.45
T909  LR R,R (ig=10)         : 20     5.8     6.0     4.99  1.46%    1.50   0.44
T910  LR R,R (ig=12)         : 20     5.2     5.7     4.56  1.08%    1.37   0.41
T911  LR R,R (ig=18)         : 20     4.5     4.6     4.09  1.50%    1.23   0.36
T912  LR R,R (ig=25)         : 20     4.2     4.3     3.87  1.30%    1.16   0.34
T913  LR R,R (ig=36)         : 20     3.8     3.9     3.60  1.09%    1.08   0.32
T914  LR R,R (ig=50)         : 20     3.6     3.8     3.48  1.65%    1.05   0.31
T915  LR R,R (ig=72)         : 20     3.4     3.6     3.37  2.51%    1.01   0.30
T920  L R,m (ig=1)           : 20    18.9    21.8    10.28  2.63%    3.09   0.91
T921  L R,m (ig=2)           : 20    24.9    26.5    20.64  1.25%    6.21   1.84
T922  L R,m (ig=3)           : 20    20.0    20.7    17.32  1.99%    5.21   1.54
T923  L R,m (ig=4)           : 20    17.5    18.4    15.63  1.06%    4.70   1.39
T924  L R,m (ig=5)           : 20    16.0    16.8    14.68  1.68%    4.42   1.31
T925  L R,m (ig=6)           : 20    15.3    15.8    14.00  1.35%    4.21   1.25
