file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-29-07:57:47_J0161_PERF-ASM.prt   224 2.96e+10  283.67s  4m43.67  104.4
2018-04-29-08:02:39_J0162_PERF-ASM.prt   221 2.92e+10  288.31s  4m48.31  101.4
2018-04-29-08:07:21_J0163_PERF-ASM.prt   204 2.70e+10  276.96s  4m36.96   97.4
2018-04-29-08:11:52_J0164_PERF-ASM.prt   212 2.80e+10  267.78s  4m27.78  104.7
2018-04-29-08:16:50_J0165_PERF-ASM.prt   223 2.95e+10  293.73s  4m53.73  100.4
2018-04-29-08:21:09_J0166_PERF-ASM.prt   195 2.58e+10  254.69s  4m14.69  101.3
2018-04-29-08:26:01_J0167_PERF-ASM.prt   218 2.88e+10  287.84s  4m47.84  100.2
2018-04-29-08:30:45_J0168_PERF-ASM.prt   221 2.92e+10  279.95s  4m39.95  104.4
2018-04-29-08:35:27_J0169_PERF-ASM.prt   216 2.86e+10  278.57s  4m38.57  102.5
2018-04-29-08:39:49_J0170_PERF-ASM.prt   201 2.66e+10  257.41s  4m17.41  103.3
2018-04-29-08:45:07_J0171_PERF-ASM.prt   227 3.00e+10  314.54s  5m14.54   95.4
2018-04-29-08:49:55_J0172_PERF-ASM.prt   211 2.79e+10  283.17s  4m43.17   98.5
2018-04-29-08:54:28_J0173_PERF-ASM.prt   211 2.79e+10  269.72s  4m29.72  103.5
2018-04-29-08:59:45_J0174_PERF-ASM.prt   228 3.02e+10  312.87s  5m12.87   96.4
2018-04-29-09:04:29_J0175_PERF-ASM.prt   214 2.83e+10  279.71s  4m39.71  101.2
2018-04-29-09:08:54_J0176_PERF-ASM.prt   203 2.68e+10  260.20s  4m20.20  103.2
2018-04-29-09:13:48_J0177_PERF-ASM.prt   227 3.00e+10  290.16s  4m50.16  103.5
2018-04-29-09:18:54_J0178_PERF-ASM.prt   230 3.04e+10  302.07s  5m02.07  100.7
2018-04-29-09:23:22_J0179_PERF-ASM.prt   198 2.62e+10  263.97s  4m23.97   99.2
2018-04-29-09:27:42_J0180_PERF-ASM.prt   197 2.61e+10  256.04s  4m16.04  101.8
2018-04-29-09:32:36_J0181_PERF-ASM.prt   222 2.94e+10  290.26s  4m50.26  101.1
2018-04-29-09:37:32_J0182_PERF-ASM.prt   210 2.78e+10  291.20s  4m51.20   95.4
2018-04-29-09:42:18_J0183_PERF-ASM.prt   206 2.72e+10  281.66s  4m41.66   96.7
2018-04-29-09:47:13_J0184_PERF-ASM.prt   219 2.90e+10  290.79s  4m50.79   99.6
2018-04-29-09:51:53_J0185_PERF-ASM.prt   201 2.66e+10  275.89s  4m35.89   96.4
2018-04-29-09:56:06_J0186_PERF-ASM.prt   195 2.58e+10  249.32s  4m09.32  103.4
2018-04-29-10:00:58_J0187_PERF-ASM.prt   226 2.99e+10  287.53s  4m47.53  103.9
2018-04-29-10:05:56_J0188_PERF-ASM.prt   228 3.02e+10  294.37s  4m54.37  102.4
2018-04-29-10:10:27_J0189_PERF-ASM.prt   194 2.57e+10  266.32s  4m26.32   96.3
2018-04-29-10:15:10_J0190_PERF-ASM.prt   202 2.67e+10  278.80s  4m38.80   95.8
2018-04-29-10:19:54_J0191_PERF-ASM.prt   217 2.87e+10  280.82s  4m40.82  102.2
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T236  XC m,m (100c)          : 31   104.3   124.6   108.69  6.78%   49.28  15.48
T237  XC m,m (250c)          : 31   232.6   274.4   243.84  9.81%  110.56  34.73
T238  NR R,R                 : 31     3.0     3.5     3.04  8.80%    1.38   0.43
T239  OR R,R                 : 31     3.0     3.6     3.09  9.64%    1.40   0.44
T240  SLL R,1                : 31     3.8     4.5     3.73  9.47%    1.69   0.53
T241  SLDL R,1               : 31     5.2     6.2     5.17  9.82%    2.34   0.74
T242  SRL R,1                : 31     3.8     4.5     3.65 10.14%    1.65   0.52
T243  SRDL R,1               : 31     5.2     6.2     5.25  8.13%    2.38   0.75
T244  SLL R,30               : 31     3.8     4.5     3.70  8.21%    1.68   0.53
T245  SLDL R,60              : 31     5.2     6.3     5.31  8.57%    2.41   0.76
T250  TM m,i                 : 31     7.7     9.3     7.97  9.27%    3.61   1.13
T252  TR m,m (10c)           : 31    16.3    19.8    16.94  9.77%    7.68   2.41
T253  TR m,m (100c)          : 31    64.1    76.5    67.37  7.99%   30.55   9.60
T254  TR m,m (250c)          : 31   133.2   158.5   139.30  9.08%   63.16  19.84
T255  TRT m,m (10c,zero)     : 31    73.5    85.4    76.74  8.03%   34.80  10.93
T256  TRT m,m (100c,zero)    : 31   687.4   835.7   716.93  7.23%  325.06 102.13
T257  TRT m,m (250c,zero)    : 31  1694.7  2028.6  1773.11  8.07%  803.93 252.58
T258  TRT m,m (250c,10b)     : 31    82.4   100.6    86.00  7.91%   38.99  12.25
T259  TRT m,m (250c,100b)    : 31   699.5   847.6   732.02 11.44%  331.90 104.28
T260  CR R,R                 : 31     2.6     3.1     2.67 10.23%    1.21   0.38
T261  C R,m                  : 31     7.4     8.9     7.82 11.69%    3.54   1.11
T262  CH R,m                 : 31     7.9     9.5     8.29 12.63%    3.76   1.18
T263  CLR R,R                : 31     2.6     3.0     2.67 12.84%    1.21   0.38
T264  CL R,m                 : 31     7.1     8.5     7.54 11.48%    3.42   1.07
T265  CLI m,i                : 31     8.5    10.2     8.74 11.13%    3.96   1.24
T266  CLM R,i,m              : 31    11.1    20.6    11.46 11.20%    5.20   1.63
T270  CLC m,m (10c,eq)       : 31    36.1    45.4    37.37 13.04%   16.95   5.32
T271  CLC m,m (10c,ne)       : 31    30.4    36.4    31.47 10.50%   14.27   4.48
T272  CLC m,m (30c,eq)       : 31    48.2    57.7    50.37  8.07%   22.84   7.18
T273  CLC m,m (30c,ne)       : 31    30.3    36.3    31.55  9.11%   14.30   4.49
T274  CLC m,m (100c,eq)      : 31    90.8   107.1    95.01  9.23%   43.08  13.53
T275  CLC m,m (100c,ne)      : 31    30.3    36.0    31.16  9.13%   14.13   4.44
T276  CLC m,m (250c,eq)      : 31   182.1   217.9   191.43  9.23%   86.80  27.27
T277  CLC m,m (250c,ne)      : 31    30.4    36.7    31.67 10.70%   14.36   4.51
T280  4*LR;CLCL (100b,10b)   : 31   101.6   120.9   106.14 12.41%   48.12  15.12
T281  4*LR;CLCL (4kb,10b)    : 31   101.7   122.5   107.43 11.86%   48.71  15.30
T282  4*LR;CLCL (4kb,100b)   : 31   822.4   975.6   869.47 10.11%  394.22 123.85
T283  4*LR;CLCL (4kb,250b)   : 31  2016.6  2490.1  2111.85  8.69%  957.52 300.83
T290  LR;CS R,R,m (eq,eq)    : 31    39.4    46.5    41.04  9.73%   18.61   5.85
