s370_perf_sum  -rat  -k r2  -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 2018-02-14_p390.dat                        231   0.14%    18.0%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T121  STM 2,7,m (6r)         :    466.82    466.82 :    1.000
T310  BCTR R,0               :     57.14     57.14 :    1.000
T504  LCER R,R               :    227.09    227.09 :    1.000
T533  LTDR R,R               :    227.09    227.09 :    1.000
T539  STD R,m (unal)         :    465.51    465.51 :    1.000
T156  MVC m,m (250c,over1)   :   2432.17   2432.18 :    1.000
T551  CD R,m                 :    454.70    454.71 :    1.000
T547  DD R,m                 :   4056.02   4056.12 :    1.000
T702  mix int RX (far)       :    364.65    364.66 :    1.000
T245  SLDL R,60              :    343.08    343.09 :    1.000
T312  BCT R,l                :    289.30    289.31 :    1.000
T178  4*LA;MVCL (1kb,over1)  :   1092.85   1092.89 :    1.000
T154  MVC m,m (100c)         :   3219.38   3219.51 :    1.000
T118  STCM R,i,m (0111)      :    241.95    241.96 :    1.000
T538  STD R,m                :    241.24    241.25 :    1.000
T516  DER R,R                :   2108.56   2108.67 :    1.000
T262  CH R,m                 :    175.25    175.26 :    1.000
T204  AL R,m                 :    174.67    174.68 :    1.000
T244  SLL R,30               :    173.65    173.66 :    1.000
T256  TRT m,m (100c,zero)    :  14792.63  14793.50 :    1.000
T124  LM 2,7,m (6r)          :    466.92    466.95 :    1.000
T291  LR;CS R,R,m (eq,ne)    :    583.10    583.15 :    1.000
T103  L R,m (unal)           :    232.76    232.78 :    1.000
T537  LRDR R,R               :    228.97    228.99 :    1.000
T506  LPER R,R               :    227.10    227.12 :    1.000
T168  MVCIN m,m (30c)        :   5421.46   5421.95 :    1.000
T111  ST R,m (unal)          :    331.34    331.37 :    1.000
T113  STH R,m (unal1)        :    214.96    214.98 :    1.000
T258  TRT m,m (250c,10b)     :   2039.29   2039.50 :    1.000
D291  CS R,R,m (eq,ne)       :    525.93    525.99 :    1.000
T250  TM m,i                 :    174.68    174.70 :    1.000
T114  STH R,m (unal3)        :    331.45    331.49 :    1.000
T410  MVC;ED (10c)           :   9820.79   9822.08 :    1.000
D410  ED (10c)               :   9093.09   9094.64 :    1.000
T177  4*Lx;MVCL (4kb,pad)    :  31869.98  31875.49 :    1.000
D177  MVCL (4kb,pad)         :  31640.00  31645.49 :    1.000
T104  LH R,m                 :    174.65    174.69 :    1.000
T700  mix int RR basic       :     87.29     87.31 :    1.000
T174  4*LR;MVCL (4kb)        :  61352.31  61368.14 :    1.000
D174  MVCL (4kb)             :  61123.64  61139.53 :    1.000
T501  LE R,m                 :    176.67    176.73 :    1.000
T271  CLC m,m (10c,ne)       :    349.83    349.95 :    1.000
T275  CLC m,m (100c,ne)      :    353.83    354.00 :    1.000
D172  MVCL (250b)            :   4371.11   4373.34 :    1.001
T172  4*Lx;MVCL (250b)       :   4602.38   4604.73 :    1.001
T175  4*Lx;MVCL (100b,pad)   :   1960.68   1961.70 :    1.001
D175  MVCL (100b,pad)        :   1729.41   1730.31 :    1.001
T277  CLC m,m (250c,ne)      :    353.82    354.03 :    1.001
T321  BALR R,R; BR R (far)   :    466.72    467.07 :    1.001
T202  AH R,m                 :    174.68    174.82 :    1.001
T430  CP m,m (10d)           :   1632.23   1633.68 :    1.001
T415  MVC;EDMK (10c)         :   9878.58   9888.52 :    1.001
T252  TR m,m (10c)           :   1871.91   1873.80 :    1.001
T221  SLDA R,1               :    429.72    430.17 :    1.001
D415  EDMK (10c)             :   9150.88   9161.07 :    1.001
T283  4*LR;CLCL (4kb,250b)   :   8794.30   8804.80 :    1.001
T101  LA R,n                 :     58.47     58.54 :    1.001
D283  CLCL (4kb,250b)        :   8565.63   8576.19 :    1.001
T110  ST R,m                 :    161.83    162.08 :    1.002
T255  TRT m,m (10c,zero)     :   1748.32   1751.13 :    1.002
T443  ZAP m,m (30d,10d)      :   1927.38   1930.69 :    1.002
T115  STC R,m                :    161.59    161.87 :    1.002
T530  LDR R,R                :    113.77    113.97 :    1.002
T323  BAL R,l; BR R (far)    :    482.70    483.65 :    1.002
T265  CLI m,i                :    174.70    175.05 :    1.002
T259  TRT m,m (250c,100b)    :  15034.85  15069.38 :    1.002
T611  EX R,i (with XI)       :    477.03    478.17 :    1.002
T171  4*Lx;MVCL (100b)       :   2379.14   2385.25 :    1.003
T280  4*LR;CLCL (100b,10b)   :   1732.15   1736.82 :    1.003
D171  MVCL (100b)            :   2147.87   2153.86 :    1.003
T300  BCR 0,0 (noop)         :     57.16     57.33 :    1.003
D280  CLCL (100b,10b)        :   1503.47   1508.21 :    1.003
